word,CEFR,Japanese,phonetic,category,Example,Example_JP
specializing,B2,専門にしている,/ˈspɛʃəˌlaɪzɪŋ/,Science,He is specializing in orthopedic surgery.,彼は整形外科を専門にしている。
spectator,B2,観客,/spˈekteɪtɚ/,General,The spectator cheered for the team.,観客はチームを応援した。
submerged,B2,水没した,/səˈbmɜːrdʒd/,General,The car was completely submerged in the floodwater.,その車は洪水で完全に水没した。
symmetry,B2,対称性,/ˈsɪmətri/,General,The building has a perfect symmetry.,その建物は完璧な対称性を持っています。
syndicate,B2,シンジケート,/sˈɪndɪkət/,General,Several criminal syndicate operate in the area.,いくつかの犯罪シンジケートがその地域で活動している。
twelfth,B2,12番目の,/ˈtwɛlfθ/,Daily,Today is the twelfth of the month.,今日はその月の12日だ。
ultrasound,B2,超音波,/ˌʌltrəˈsaʊnd/,Science,The doctor used ultrasound to examine the baby.,医師は超音波を使って赤ちゃんを検査した。
usher,B2,案内係,/ˈʌʃɚ/,Travel,The usher will guide you to your seats.,案内係があなたの席まで案内します。
vascular,B2,血管の,/ˈvæskjələr/,Science,The disease affects the vascular system.,その病気は血管系に影響を及ぼす。
wholesome,B2,健全な,/ˈhoʊlsəm/,General,He lived a wholesome lifestyle.,彼は健全なライフスタイルを送っていた。
witnessing,B2,目撃している,/ˈwɪtnəsɪŋ/,Daily,I was witnessing the historical moment.,私は歴史的な瞬間を目撃していました。
yielded,B2,産出した、屈した,/ˈjiːldəd/,General,The experiment yielded unexpected results.,実験は予期せぬ結果を生み出した。
absorbing,B2,吸収する,/əˈbzɔrbɪŋ/,General,The sponge was absorbing water.,そのスポンジは水を吸収していた。
adapting,B2,適応する,/əˈdæptɪŋ/,Business,The company is adapting to the changing market.,会社は変化する市場に適応している。
alternating,B2,交互の,/ˈɔltərˌneɪtɪŋ/,General,The lights are alternating red and green.,ライトは赤と緑が交互に点滅している。
ancestry,B2,祖先、家系,/ˈænsɛstri/,Daily,The family has a long ancestry.,その家族は長い家系を持つ。
annexed,B2,併合した,/ˈænɛkst/,General,The country annexed the neighboring territory.,その国は隣接する領土を併合した。
antibiotic,B2,抗生物質,/ˌæntibiˈɑtɪk/,Nature,The doctor prescribed an antibiotic for the infection.,医師は感染症に抗生物質を処方した。
arresting,B2,人目を引く、注目すべき,/ərˈɛstɪŋ/,Culture,The painting had an arresting beauty.,その絵は、人目を引く美しさを持っていた。
augmented,B2,増強された,/ɑˈɡmɛntəd/,Science,The software has an augmented reality feature.,そのソフトウェアには拡張現実機能がある。
barge,B2,はしけ,/ˈbɑrdʒ/,Nature,The barge carried cargo down the river.,はしけは貨物を川下へ運んだ。
bartender,B2,バーテンダー,/bˈɑːrtˌendɚ/,General,The bartender were busy mixing drinks.,バーテンダーたちは忙しく飲み物を混ぜていた。
birch,B2,白樺,/ˈbɜːrtʃ/,General,The birch trees are very beautiful.,白樺の木はとても美しいです。
bland,B2,味気ない,/ˈblænd/,Culture,The food was very bland.,その食べ物はとても味気なかった。
blended,B2,ブレンドした,/ˈblɛndəd/,General,They blended different spices to make the sauce.,彼らはソースを作るために異なるスパイスをブレンドした。
bohemian,B2,ボヘミアン,/boʊˈhiːmiən/,General,She has a bohemian style of dress and lifestyle.,彼女はボヘミアンな服装とライフスタイルを持っている。
bounded,B2,境界づけられた,/ˈbaʊndəd/,Nature,The city is bounded by a river on one side.,その都市は一方の側が川で境界づけられている。
breastfeeding,B2,母乳育児,/ˈbrɛstfidɪŋ/,General,Breastfeeding is the natural way to nourish a baby.,母乳育児は、赤ちゃんを育てる自然な方法である。
bridal,B2,結婚の、花嫁の,/ˈbraɪdəl/,Nature,She wore a beautiful bridal gown.,彼女は美しい花嫁のガウンを着ていた。
brushing,B2,磨いている,/ˈbrʌʃɪŋ/,General,He is brushing his teeth.,彼は歯を磨いています。
buckle,B2,バックル,/ˈbʌkəl/,General,The buckle on her belt was made of silver.,彼女のベルトのバックルは銀でできていた。
centred,B2,中心にある,/centred/,Daily,The table was centred in the room.,テーブルは部屋の中心にありました。
cider,B2,サイダー,/ˈsaɪdər/,General,We drank apple cider in the fall.,私たちは秋にアップルサイダーを飲んだ。
clueless,B2,見当違いの,/ˈkluːləs/,General,He was clueless about what was happening.,彼は何が起こっているのか見当違いでした。
consciously,B2,意識的に,/ˈkɑnʃəsli/,General,He consciously chose to avoid the conflict.,彼は意識的に紛争を避けることを選んだ。
correlated,B2,相関関係がある,/ˈkɔrəˌleɪtəd/,General,The study found that smoking is correlated with lung cancer.,その研究では、喫煙が肺がんと相関していることがわかりました。
cradle,B2,ゆりかご,/ˈkreɪdəl/,General,The baby was sleeping in a cradle.,赤ちゃんはゆりかごで眠っていた。
crappy,B2,くだらない、ひどい,/ˈkræˌpiː/,General,I had a crappy day at work.,今日は仕事でひどい一日だった。
crippled,B2,麻痺した,/ˈkrɪpəld/,General,The accident crippled his leg.,その事故で彼の足は麻痺した。
decency,B2,礼儀正しさ,/ˈdiːsənsi/,General,Have the decency to tell me the truth.,せめて私に真実を教えてください。
despise,B2,軽蔑する,/dɪspˈaɪz/,General,I despise dishonesty.,私は不誠実さを軽蔑している。
destroyer,B2,駆逐艦,/dɪˈstrɔɪər/,General,The destroyer patrolled the waters.,駆逐艦は海域をパトロールした。
diocese,B2,教区,/dˈaɪəsˌiːz/,General,He was the bishop of the diocese.,彼はその教区の司教だった。
dispersed,B2,分散した,/dɪˈspɜːrst/,Nature,The seeds were dispersed by the wind.,種は風によって分散しました。
doorstep,B2,玄関先,/ˈdɔˌrstɛp/,General,The package was left on the doorstep.,小包は玄関先に置かれていた。
embarked,B2,乗り出した,/ɛˈmbɑrkt/,General,They embarked on a new adventure.,彼らは新しい冒険に乗り出した。
enriched,B2,豊かにされた,/ɛˈnrɪtʃt/,General,The experience enriched his understanding of the world.,その経験は彼の世界の理解を豊かにした。
equip,B2,装備する,/ɪˈkwɪp/,General,The company will equip the employees with new laptops.,会社は従業員に新しいラップトップを装備するだろう。
footing,B2,足場,/ˈfʊtɪŋ/,Daily,He lost his footing on the ice.,彼は氷の上で足場を失った。
glamorous,B2,魅惑的な,/ˈɡlæmərəs/,General,She looked glamorous in her evening gown.,彼女はイブニングドレスを着て魅惑的に見えた。
handler,B2,取扱者,/hˈændlɚ/,General,The dog handler were very skilled with their animals.,犬の取扱者たちは動物の扱いに非常に熟練していました。
hangover,B2,二日酔い,/ˈhæŋˌoʊvər/,General,He woke up with a terrible hangover after the party.,彼はパーティーの後、ひどい二日酔いで目を覚ました。
havoc,B2,大混乱,/ˈhævək/,General,The storm caused havoc in the city.,嵐は都市に大混乱を引き起こした。
hind,B2,後ろの,/ˈhaɪnd/,General,The dog wagged its hind legs.,犬は後ろ足を振った。
hitter,B2,打者,/ˈhɪtər/,General,He's a powerful hitter.,彼は強力な打者だ。
hive,B2,ミツバチの巣,/ˈhaɪv/,General,The hive was buzzing with activity.,ミツバチの巣は活動でブンブンと音を立てていた。
homophobic,B2,同性愛嫌悪の,/ˌhoʊməˈfoʊbɪk/,General,His comments were deemed to be homophobic.,彼のコメントは同性愛嫌悪的であるとみなされた。
illuminated,B2,照らされた,/ɪˈluːməˌneɪtəd/,Daily,The room was illuminated by a single lamp.,部屋は一つのランプによって照らされていた。
imam,B2,イマーム,/ˈaɪmæm/,General,The imam led the prayers at the mosque.,イマームはモスクで祈りを導いた。
inexperienced,B2,経験不足の,/ɪnɪˈkspɪriənst/,Daily,He was inexperienced at the job.,彼はその仕事の経験が不足していた。
influencing,B2,影響を与える,/ˈɪˌnfluːənsɪŋ/,General,His speech was influencing the crowd.,彼の演説は群衆に影響を与えていた。
invading,B2,侵略する,/ɪˈnveɪdɪŋ/,General,The army was accused of invading a neighboring country.,その軍隊は隣国を侵略したとして非難された。
irritated,B2,イライラした,/ˈɪrəˌteɪtəd/,General,I was irritated by his constant complaining.,私は彼の絶え間ない不満にイライラした。
jackpot,B2,大当たり,/dʒˈækpˌɑːt/,General,He won one of the jackpot.,私は大当たりの一つを当てた。
kangaroo,B2,カンガルー,/ˌkæŋɡərˈuː/,General,The kangaroo hopped across the field.,カンガルーが野原を飛び跳ねていた。
knowingly,B2,承知の上で,/ˈnoʊɪŋli/,General,He knowingly broke the rules.,彼は承知の上で規則を破りました。
liberalism,B2,自由主義,/ˈlɪbərəˌlɪzəm/,General,Liberalism is a political ideology.,自由主義は政治的イデオロギーである。
longing,B2,憧れ,/ˈlɔŋɪŋ/,General,She has a longing for her homeland.,彼女は故郷への憧れを抱いている。
mailed,B2,郵送した,/ˈmeɪld/,General,She mailed the letter yesterday.,彼女は昨日手紙を郵送した。
mantra,B2,マントラ,/ˈmæntrə/,General,Her mantra is to be positive every day.,彼女のマントラは毎日前向きでいることだ。
mapped,B2,地図で示された,/ˈmæpt/,Travel,The route was mapped out on the GPS.,ルートはGPSで地図で示された。
mating,B2,交尾,/ˈmeɪtɪŋ/,General,The mating season has begun.,交尾期が始まった。
mesa,B2,メサ,/ˈmeɪsə/,General,The mesa was flat on top.,メサは上が平らだった。
microscope,B2,顕微鏡,/ˈmaɪkrəˌskoʊp/,General,Scientists use a microscope to study small organisms.,科学者たちは小さな生物を研究するために顕微鏡を使う。
mixer,B2,ミキサー,/ˈmɪksər/,General,She used a mixer to prepare the cake batter.,彼女はケーキの生地を準備するためにミキサーを使った。
modeled,B2,モデル化された,/ˈmɑdəld/,General,The new car was modeled after a classic design.,その新しい車は古典的なデザインをモデルにした。
monumental,B2,記念碑的な、巨大な,/ˌmɑnjəˈmɛntəl/,General,The construction of the dam was a monumental achievement.,そのダムの建設は記念碑的な業績だった。
moth,B2,蛾,/ˈmɔθ/,General,A moth was flying around the light.,蛾が光の周りを飛んでいた。
multiply,B2,増やす,/ˈmʌltəˌplaɪ/,Science,The bacteria can multiply rapidly.,バクテリアは急速に増殖する可能性があります。
nuisance,B2,迷惑,/nˈuːsəns/,General,The noise was a nuisance.,その騒音は迷惑だった。
obedience,B2,従順、服従,/oʊbˈiːdiːəns/,Daily,The dog showed great obedience.,その犬は非常に従順だった。
objected,B2,反対した,/əˈbdʒɛktəd/,General,He objected to the new rules.,彼は新しい規則に反対した。
obligated,B2,義務付けられた,/ˈɑbləˌɡeɪtɪd/,General,He felt obligated to help his friend.,彼は友人を助ける義務があると感じた。
organise,B2,整理する,/organise/,General,We need to organise the documents.,私たちは書類を整理する必要があります。
overdue,B2,期限切れの,/ˈoʊvərˈduː/,General,The library book is overdue.,その図書館の本は期限切れだ。
overload,B2,過負荷,/ˈoʊvərˌloʊd/,General,The system is experiencing an overload.,システムは過負荷を経験しています。
payable,B2,支払い可能,/ˈpeɪəbəl/,General,The amount is payable upon receipt.,金額は受領時に支払い可能である。
paycheck,B2,給料,/ˈpeɪˌtʃɛk/,Business,I get my paycheck every other Friday.,私は隔週の金曜日に給料をもらう。
peaked,B2,ピークに達した,/ˈpiːkt/,General,Sales peaked during the holiday season.,売上はホリデーシーズン中にピークに達した。
picturesque,B2,絵のような、美しい,/ˈpɪktʃərəsk/,General,The village is very picturesque and charming.,その村はとても絵のように美しく、魅力的である。
pilgrimage,B2,巡礼,/pˈɪlɡrəmədʒ/,General,They went on pilgrimage to holy sites.,彼らは聖地への巡礼に出かけた。
pivot,B2,軸、旋回する,/pˈɪvət/,General,The door pivot on its hinges.,ドアは蝶番で旋回する。
pivotal,B2,極めて重要な、中枢的な,/ˈpɪvətəl/,Academic,This is a pivotal moment in the history of the company.,これは会社の歴史における極めて重要な瞬間である。
pressured,B2,圧力をかけられた,/ˈprɛʃərd/,General,She felt pressured to agree with the proposal.,彼女は提案に同意するように圧力をかけられたと感じた。
preventive,B2,予防的な,/prɪˈvɛntɪv/,General,Preventive measures were taken to avoid future problems.,将来の問題を避けるために予防措置が講じられた。
primer,B2,プライマー,/prˈaɪmɚ/,General,primer are essential for initiating the replication of DNA.,プライマーはDNAの複製を開始するために不可欠である。
progressing,B2,進行している,/prəˈɡrɛsɪŋ/,General,The project is progressing smoothly.,プロジェクトは順調に進行している。
pulmonary,B2,肺の,/ˈpʊlməˌnɛri/,Science,Pulmonary disease can severely affect breathing.,肺疾患は呼吸に深刻な影響を与える可能性があります。
punishing,B2,罰する,/ˈpʌnɪʃɪŋ/,General,The teacher was punishing the students for misbehaving.,教師は生徒たちのいたずらに対して罰していた。
regression,B2,回帰,/rəˈɡrɛʃən/,Science,The data analysis showed a strong regression towards the mean.,データ分析は平均への強い回帰を示した。
roaming,B2,歩き回る,/ˈroʊmɪŋ/,General,The dog was roaming around the neighborhood.,犬は近所を歩き回っていた。
router,B2,ルーター,/ˈruːtər/,General,"My internet isn't working, maybe the router is off.",インターネットが繋がらない、多分ルーターの電源が切れている。
scouting,B2,スカウト活動,/ˈskaʊtɪŋ/,General,They were scouting for new talent.,彼らは新しい才能をスカウトしていた。
shortened,B2,短縮した,/ˈʃɔrtənd/,General,The meeting was shortened to one hour.,会議は1時間に短縮された。
shovel,B2,シャベル,/ˈʃʌvəl/,Nature,He used a shovel to clear the snow.,彼は雪をかき分けるためにシャベルを使った。
striving,B2,努力している,/ˈstraɪvɪŋ/,General,The company is striving to improve customer service.,その会社は顧客サービスの改善に努力している。
suing,B2,訴えている,/ˈsuːɪŋ/,Business,The company is suing its former employee.,その会社は以前の従業員を訴えている。
synonymous,B2,同義の、同じ意味の,/səˈnɑnəməs/,Culture,The two words are synonymous.,二つの言葉は同義語である。
tackling,B2,取り組む,/ˈtæklɪŋ/,Nature,We are tackling the problem of climate change.,私たちは気候変動の問題に取り組んでいる。
tallest,B2,最も高い,/ˈtɔlɪst/,Daily,She is the tallest in her family.,彼女は家族の中で最も背が高いです。
taped,B2,テープで留めた,/ˈteɪpt/,General,She taped the poster to the wall.,彼女はポスターを壁にテープで留めた。
troubling,B2,厄介な,/ˈtrʌbəlɪŋ/,General,The news is troubling.,そのニュースは厄介だ。
tug,B2,引く,/ˈtʌɡ/,Daily,The child gave the dog a tug.,その子供は犬を引っ張った。
utilization,B2,利用、活用,/ˌjuːtələˈzeɪʃən/,Nature,The utilization of solar energy is becoming more widespread.,太陽エネルギーの利用がますます普及してきています。
wink,B2,ウインク,/ˈwɪŋk/,General,He gave her a wink as he passed by.,彼は通り過ぎる時に彼女にウインクした。
woodward,B2,ウッドワード,/ˈwʊˌdwɔrd/,General,Woodward is a famous journalist.,ウッドワードは有名なジャーナリストです。
ancestor,B2,先祖,/ˈæˌnsɛstər/,General,My ancestor came from Ireland.,私の先祖はアイルランドから来た。
arbor,B2,木陰/あずまや,/ˈɑrbər/,Nature,"We sat under the arbor, enjoying the cool shade.",私たちはあずまやの下に座って、涼しい日陰を楽しんだ。
astronomical,B2,天文学的な,/ˌæstrəˈnɑmɪkəl/,Culture,The cost of the project was astronomical.,プロジェクトの費用は天文学的なものだった。
attire,B2,服装,/əˈtaɪər/,Daily,Business attire is required for the meeting.,会議にはビジネス服装が必要です。
authored,B2,執筆した,/ˈɔθərd/,General,She authored several best-selling novels.,彼女はいくつかのベストセラー小説を執筆した。
autograph,B2,サイン,/ˈɔːtəɡrˌæf/,General,Fans waited to get autograph from the star.,ファンはスターからサインをもらうのを待ちました。
axle,B2,車軸,/ˈæksəl/,General,The wheel was loose on its axle.,車輪は車軸上で緩んでいた。
barley,B2,大麦,/ˈbɑrli/,General,Barley is a type of grain.,大麦は穀物の一種だ。
bitten,B2,噛まれた,/ˈbɪtən/,General,He was bitten by a dog.,彼は犬に噛まれた。
blasted,B2,爆破した,/ˈblæstəd/,General,They blasted the rock to create a tunnel.,彼らはトンネルを作るために岩を爆破した。
botanical,B2,植物の、植物学的な,/bəˈtænɪkəl/,Nature,The botanical garden has a large variety of plants.,植物園には多種多様な植物がある。
bottled,B2,瓶詰めされた,/ˈbɑtəld/,General,We bought bottled water for the picnic.,私たちはピクニックのためにボトル入りの水を買った。
brag,B2,自慢する,/brˈæɡ/,General,He always brag about his accomplishments.,私はいつも自分の業績について自慢します。
breakout,B2,脱出,/ˈbreɪˌkaʊt/,General,They planned a breakout from the prison.,彼らは刑務所からの脱出を計画した。
bumped,B2,ぶつかった,/ˈbʌmpt/,General,I bumped into him at the mall.,私はモールで彼にぶつかった。
bursting,B2,破裂しそうな,/ˈbɜːrstɪŋ/,General,The balloon was bursting with air.,風船は空気で破裂しそうだった。
catchy,B2,覚えやすい,/ˈkætʃi/,Culture,The song had a very catchy melody.,その歌は非常に覚えやすいメロディーを持っていた。
ceremonial,B2,儀式的な,/ˌsɛrəˈmoʊniəl/,General,The ceremony included ceremonial dances and speeches.,その儀式には、儀式的な踊りとスピーチが含まれていました。
chilled,B2,冷えた,/ˈtʃɪld/,General,The chilled juice was very refreshing.,冷えたジュースはとても爽やかだった。
clarified,B2,明確化された,/ˈklɛrəˌfaɪd/,General,The instructions were clarified after the initial confusion.,最初の混乱の後、指示は明確化された。
commemorate,B2,記念する,/kəmˈemɚˌeɪt/,Academic,The festival commemorate the city's history.,その祭りは都市の歴史を記念する。
concurrent,B2,同時発生の,/kəˈnkɜːrənt/,General,"The two projects were running concurrently, requiring careful coordination.",2つのプロジェクトは同時進行しており、注意深い調整が必要でした。
corrupted,B2,堕落した、腐敗した,/kərˈʌptɪd/,General,The system was corrupted by greed.,そのシステムは貪欲によって堕落した。
crocodile,B2,ワニ,/krˈɑːkədˌaɪl/,Nature,The crocodile were basking in the sun on the riverbank.,ワニたちは川岸で日光浴をしていた。
cub,B2,子,/ˈkʌb/,General,The bear cub followed its mother.,クマの子は母親についていきました。
derrick,B2,デリック,/ˈdɛrɪk/,General,The construction site had a large derrick.,建設現場には大きなデリックがあった。
differentiation,B2,分化,/dɪfərˌɛnʃiˈeɪʃən/,Science,Cell differentiation is important in development.,細胞分化は発達において重要である。
dine,B2,食事をする,/ˈdaɪn/,Daily,They decided to dine at a fancy restaurant.,彼らは高級レストランで食事をすることに決めた。
disadvantaged,B2,不利な立場に置かれた,/dɪsəˈdvæntɪdʒd/,General,They are a disadvantaged group in society.,彼らは社会において不利な立場に置かれたグループだ。
disagreed,B2,反対した,/dɪsəˈɡriːd/,General,They disagreed on the plan.,彼らは計画に反対した。
diverted,B2,そらされた、転用された,/daɪˈvɜːrtɪd/,Nature,The river was diverted to irrigate the fields.,その川は、畑を灌漑するためにそらされました。
dubious,B2,疑わしい,/ˈduːbiəs/,General,The evidence presented was dubious and unconvincing.,提示された証拠は疑わしく、説得力がなかった。
eagerly,B2,熱心に,/ˈiːɡərli/,General,She eagerly opened the present.,彼女は熱心にプレゼントを開けた。
ecclesiastical,B2,教会の,/ɪˌkliːziˈæstɪkəl/,Culture,The ecclesiastical building is an important historical site.,その教会建築は重要な史跡である。
elk,B2,ヘラジカ,/ˈɛlk/,Nature,We saw an elk in the forest.,私たちは森でヘラジカを見た。
enlightened,B2,啓発された,/ɛˈnlaɪtənd/,General,He is an enlightened leader who cares about his people.,彼は人々を思いやる啓発されたリーダーだ。
erased,B2,消された,/ɪˈreɪst/,General,The blackboard was erased after class.,授業後、黒板は消された。
escorted,B2,護衛された,/ɛˈskɔrtɪd/,General,The celebrity was escorted by bodyguards.,その有名人はボディーガードに護衛された。
exhaustion,B2,疲労困憊,/ɪˈɡzɔstʃən/,General,He collapsed from exhaustion.,彼は疲労困憊で倒れた。
expectancy,B2,期待,/ɪˈkspɛktənsi/,General,The life expectancy in that country has increased significantly.,その国の平均寿命は著しく増加しました。
famously,B2,有名な,/ˈfeɪməsli/,Culture,He is famously known for his role in the movie.,彼はその映画での役割で有名だ。
fella,B2,男たち,/fˈelə/,General,"Hey fella, how's it going?",おい、みんな、元気か？
fielding,B2,（質問などを）かわす,/ˈfiːldɪŋ/,General,The politician was fielding questions from reporters.,政治家は記者からの質問をかわしていた。
fingerprint,B2,指紋,/ˈfɪŋɡərˌprɪnt/,General,The police took his fingerprint as evidence.,警察は証拠として彼の指紋を採取した。
flap,B2,はためき,/ˈflæp/,Nature,The bird's wings flap quickly.,鳥の翼は素早くはためく。
folklore,B2,民話,/ˈfoʊˌklɔr/,General,The story is part of local folklore.,その物語は地元の民話の一部です。
forgiving,B2,寛容な,/fərˈɡɪvɪŋ/,Nature,She is very forgiving by nature.,彼女は生まれつき非常に寛容である。
fractured,B2,骨折した,/ˈfræktʃərd/,General,She fractured her arm in the accident.,彼女は事故で腕を骨折した。
galactic,B2,銀河の,/ɡəˈlæktɪk/,Science,The spacecraft traveled to a galactic region.,宇宙船は銀河の領域へ旅をした。
gardener,B2,庭師,/ˈɡɑrdənər/,General,The gardener was planting flowers in the garden.,庭師は庭に花を植えていた。
glee,B2,喜び,/ˈɡliː/,Daily,The children jumped with glee.,子供たちは喜びで飛び跳ねた。
grassroots,B2,草の根の、大衆の,/ˈɡræˈsruːts/,General,The campaign was a grassroots movement.,そのキャンペーンは草の根運動だった。
grazing,B2,放牧,/ˈɡreɪzɪŋ/,General,The cows were grazing in the field.,牛は畑で放牧されていた。
gunshot,B2,銃声,/ˈɡʌˌnʃɑt/,General,We heard a gunshot in the distance.,遠くで銃声が聞こえました。
hailed,B2,歓迎された,/ˈheɪld/,General,The new technology was hailed as a breakthrough.,その新しい技術は画期的なものとして歓迎された。
hereditary,B2,遺伝性の,/hərˈɛdəˌtɛri/,Science,The disease is hereditary and passed through families.,その病気は遺伝性であり、家族を通して伝えられる。
hiatus,B2,中断、空白,/haɪˈeɪtəs/,Nature,"After a long hiatus, she returned to writing.",長い中断の後、彼女は執筆に戻った。
horribly,B2,ひどく,/ˈhɔrəbli/,Culture,The food tasted horribly bad.,その食べ物はひどくまずかった。
horsepower,B2,馬力,/ˈhɔˌrspaʊər/,General,The car has 300 horsepower.,その車は300馬力ある。
hue,B2,色合い,/ˈhjuː/,General,The sunset had a beautiful orange hue.,夕焼けは美しいオレンジの色合いをしていた。
icing,B2,アイシング,/ˈaɪsɪŋ/,General,The cake is covered in chocolate icing.,ケーキはチョコレートアイシングで覆われています。
intending,B2,意図している,/ɪˈntɛndɪŋ/,General,I am intending to go to the park later.,私は後で公園に行くつもりです。
interchange,B2,インターチェンジ,/ˌɪntərˈtʃeɪndʒ/,General,The traffic was heavy at the interchange.,インターチェンジでは交通量が多かった。
knob,B2,ノブ,/ˈnɑb/,General,Turn the knob to adjust the volume.,音量を調整するためにノブを回してください。
laundering,B2,資金洗浄,/ˈlɔndərɪŋ/,Business,The investigation revealed a complex money laundering scheme.,捜査によって複雑な資金洗浄スキームが明らかになった。
ledger,B2,帳簿,/ˈlɛdʒər/,General,The accountant carefully recorded all transactions in the ledger.,会計士はすべての取引を帳簿に注意深く記録した。
lodged,B2,泊まった,/ˈlɑdʒd/,Culture,We lodged at a small hotel near the beach.,私たちはビーチの近くの小さなホテルに泊まりました。
loot,B2,略奪品,/ˈluːt/,General,The pirates divided the loot among themselves.,海賊たちは略奪品を自分たちで分けました。
magnesium,B2,マグネシウム,/mæˈɡniːziəm/,General,Magnesium is an important mineral for your health.,マグネシウムはあなたの健康にとって重要なミネラルです。
mimic,B2,模倣する,/mˈɪmɪk/,Nature,The bird mimic human speech.,その鳥は人間の話し方を模倣する。
mindful,B2,気をつけている,/ˈmaɪndfəl/,Daily,Be mindful of the time.,時間に気を付けてください。
mural,B2,壁画,/ˈmjʊrəl/,General,The artist painted a large mural on the building.,その芸術家は建物の壁に大きな壁画を描きました。
musk,B2,麝香、ムスク,/ˈmʌsk/,General,The musk scent was overpowering.,ムスクの香りは強烈だった。
nasal,B2,鼻の,/ˈneɪzəl/,General,He had a nasal voice.,彼は鼻声だった。
nautical,B2,航海の,/ˈnɔtəkəl/,Nature,The museum has a large collection of nautical instruments.,その博物館には航海用器具の大きなコレクションがあります。
neatly,B2,きちんと、整然と,/ˈniːtli/,General,She neatly arranged the books on the shelf.,彼女は棚に本をきちんと並べました。
negativity,B2,否定的な態度、否定的思考,/ˌnɛɡəˈtɪvəti/,General,It's important to avoid negativity and focus on the positive.,否定的な態度を避け、肯定的なことに焦点を当てることが重要だ。
noteworthy,B2,注目すべき,/ˈnoʊˌtwɜːrði/,Daily,The event was noteworthy for its large turnout.,そのイベントは、多くの人が集まったことで注目すべきだった。
odor,B2,臭い,/ˈoʊdər/,Daily,There was a strange odor in the room.,部屋には奇妙な臭いがした。
overturned,B2,覆された、転覆した,/ˈoʊvərˌtɜːrnd/,General,The court overturned the previous decision.,裁判所は以前の決定を覆した。
partying,B2,パーティーをする,/ˈpɑrtiɪŋ/,Daily,They were partying late into the night.,彼らは夜遅くまでパーティーをしていた。
peg,B2,ペグ,/ˈpɛɡ/,General,She hammered the peg into the ground.,彼女はペグを地面に打ち込んだ。
powerless,B2,無力な,/ˈpaʊərləs/,General,He felt powerless to change the situation.,彼は状況を変えることに無力だと感じました。
pragmatic,B2,実用的な,/præˈɡmætɪk/,General,We need a pragmatic approach to solve this problem.,この問題を解決するには実用的なアプローチが必要だ。
quasi,B2,準,/ˈkwɑsi/,Nature,The situation was quasi-political in nature.,その状況は、準政治的な性質を持っていました。
radiant,B2,輝く,/ˈreɪdiənt/,Daily,Her radiant smile lit up the room.,彼女の輝く笑顔が部屋を明るくした。
refinery,B2,精製所,/rɪˈfaɪnəri/,General,The refinery processes crude oil into gasoline.,精製所は原油をガソリンに加工します。
regained,B2,取り戻した,/riˈɡeɪnd/,General,"After a long illness, she regained her health.",長い病気のあと、彼女は健康を取り戻した。
reopened,B2,再開した,/riˈoʊpənd/,General,The restaurant reopened after being closed for renovations.,そのレストランは改装のために閉鎖されていたが、再開した。
revoked,B2,取り消した,/rɪˈvoʊkt/,General,The license was revoked after several violations.,その免許は、いくつかの違反の後、取り消された。
sanity,B2,正気,/ˈsænəti/,General,He questioned his own sanity after the accident.,彼は事故後、自分の正気を疑った。
scratched,B2,引っ掻いた,/ˈskrætʃt/,General,The cat scratched the door.,猫がドアを引っ掻いた。
showdown,B2,対決,/ˈʃoʊˌdaʊn/,General,The two rivals had a final showdown.,2人のライバルは最終的な対決をした。
shuffle,B2,引きずる,/ˈʃʌfəl/,Daily,He began to shuffle across the room.,彼は部屋を引きずるように歩き始めた。
siding,B2,側板,/ˈsaɪdɪŋ/,Daily,The house needs new siding.,その家は新しい側板が必要だ。
simulated,B2,シミュレーションされた,/ˈsɪmjəˌleɪtɪd/,General,The training was done in a simulated environment.,トレーニングはシミュレーション環境で行われた。
skyline,B2,スカイライン,/ˈskaɪˌlaɪn/,Daily,The city skyline was beautiful at night.,夜の街のスカイラインは美しかった。
sprayed,B2,スプレーした,/ˈspreɪd/,General,The gardener sprayed the roses with insecticide.,庭師はバラに殺虫剤をスプレーした。
stocking,B2,ストッキング,/ˈstɑkɪŋ/,General,She wore black stocking with her skirt.,私はスカートと一緒に黒いストッキングを履きました。
supplemental,B2,補足の、追加の,/ˌsʌpləˈmɛntəl/,Daily,They are offering supplemental training to new employees.,彼らは新入社員に補足的なトレーニングを提供している。
tariff,B2,関税,/ˈtɛrəf/,Business,The government imposed a tariff on imported goods.,政府は輸入品に関税を課した。
trance,B2,トランス、催眠状態,/trˈæns/,Culture,The music put her in a trance.,その音楽は彼女をトランス状態にした。
translating,B2,翻訳している,/træˈnzleɪtɪŋ/,Academic,He is translating the novel into English.,彼はその小説を英語に翻訳している。
unconditional,B2,無条件の,/ˌʌnkəˈndɪʃənəl/,General,They offered unconditional support.,彼らは無条件の支援を提供した。
volatility,B2,変動性,/ˌvɑləˈtɪləti/,Business,The volatility of the stock market is concerning.,株式市場の変動性は懸念される。
accessing,B2,アクセスする,/ˈæˌksɛsɪŋ/,General,He is accessing the database to retrieve the information.,彼は情報を取得するためにデータベースにアクセスしている。
admirable,B2,感心するべき,/ˈædmərəbəl/,General,His dedication to his work is admirable.,彼の仕事への献身は感心するべきだ。
adventurous,B2,冒険好きな,/æˈdvɛntʃərəs/,General,She is an adventurous traveler.,彼女は冒険好きな旅行者だ。
