row_id,word,orig_CEFR,new_CEFR,orig_JP,new_JP,orig_IPA,new_IPA,orig_Ex,new_Ex,orig_Ex_JP,new_Ex_JP,reasons
2448,closing,B1,B1,閉店,閉店,/ˈkloʊzɪŋz/,/klˈoʊzɪŋ/,The store closings have hurt the local economy.,The store closing have hurt the local economy.,店の閉店は地域経済に打撃を与えました。,店の閉店は地域経済に打撃を与えました。,屈折IPAの原形化 / 例文の原形主語整合化
2464,fort,B1,B1,砦,砦,/ˈfɔrts/,/fˈɔːrt/,The soldiers were stationed at the forts.,The soldiers were stationed at the fort.,兵士たちは砦に駐屯していた。,兵士たちは砦に駐屯していた。,屈折IPAの原形化 / 例文の原形主語整合化
2476,suffer,B1,B1,苦しむ,苦しむ,/ˈsʌfərz/,/sˈʌfɚ/,He suffers from a chronic illness.,I suffer from a chronic illness.,彼は慢性的な病気に苦しんでいる。,私は慢性的な病気に苦しんでいる。,屈折IPAの原形化 / 例文の原形主語整合化
2484,lieutenant,B1,B1,副官,副官,/luˈtɛnənts/,/luːtˈenənt/,The general had several lieutenants.,The general had several lieutenant.,将軍は数人の副官を抱えていた。,将軍は数人の副官を抱えていた。,屈折IPAの原形化 / 例文の原形主語整合化
2487,muscle,B1,B1,筋肉,筋肉,/ˈmʌsəlz/,/mˈʌsəl/,He works out to build his muscles.,He works out to build his muscle.,彼は筋肉をつけるためにトレーニングをしている。,私は筋肉をつけるためにトレーニングをしている。,屈折IPAの原形化 / 例文の原形主語整合化
2496,tape,B1,B1,テープ,テープ,/ˈteɪps/,/tˈeɪp/,I have a collection of old music tapes.,I have a collection of old music tape.,私は古い音楽テープのコレクションを持っています。,私は古い音楽テープのコレクションを持っています。,屈折IPAの原形化 / 例文の原形主語整合化
2499,beating,B1,B1,殴打、敗北,殴打、敗北,/ˈbiːtɪŋz/,/bˈiːtɪŋ/,The team suffered several beatings this season.,The team suffered several beating this season.,チームは今シーズン、いくつかの連敗を喫した。,チームは今シーズン、いくつかの連敗を喫した。,屈折IPAの原形化 / 例文の原形主語整合化
2505,horror,B1,B1,恐怖,恐怖,/ˈhɔrərz/,/hˈɔːrɚ/,He described the horrors of war.,He described the horror of war.,彼は戦争の恐怖について説明した。,私は戦争の恐怖について説明した。,屈折IPAの原形化 / 例文の原形主語整合化
2514,ceremony,B1,B1,式典,式典,/ˈsɛrəˌmoʊniz/,/sˈerəmˌoʊniː/,The graduation ceremonies will be held next week.,The graduation ceremonies will be held next week.,卒業式は来週行われる予定です。,卒業式は来週行われる予定です。,屈折IPAの原形化
2524,min,B1,B1,分,分,/ˈmɪnz/,/mˈɪn/,Wait for five mins.,Wait for five min.,5分待ってください。,5分待ってください。,屈折IPAの原形化 / 例文の原形主語整合化
2526,participate,B1,B1,参加する,参加する,/pɑˈrtɪsəˌpeɪts/,/pɑːrtˈɪsəpˌeɪt/,She participates in many activities.,I participate in many activities.,彼女は多くの活動に参加しています。,私は多くの活動に参加しています。,屈折IPAの原形化 / 例文の原形主語整合化
2535,bureau,B1,B1,局,局,/ˈbjʊroʊz/,/bjˈʊroʊ/,The government has several bureaus.,The government has several bureau.,政府にはいくつかの局がある。,政府にはいくつかの局がある。,屈折IPAの原形化 / 例文の原形主語整合化
2555,layer,B1,B1,層,層,/ˈleɪər/,/ˈleɪər/,The cake has several layers.,The cake has several layer.,ケーキにはいくつかの層がある。,ケーキにはいくつかの層がある。,例文の原形主語整合化
2575,entrance,B1,B1,入口,入口,/ˈɛntrənsəz/,/ˈentrəns/,There are two entrances to the building.,There are two entrance to the building.,建物には2つの入口があります。,建物には2つの入口があります。,屈折IPAの原形化 / 例文の原形主語整合化
2586,posting,B1,B1,掲示物,掲示物,/ˈpoʊstɪŋz/,/pˈoʊstɪŋ/,They saw the postings on the bulletin board.,They saw the posting on the bulletin board.,彼らは掲示板の掲示物を見た。,彼らは掲示板の掲示物を見た。,屈折IPAの原形化 / 例文の原形主語整合化
2588,resource,B1,B1,資源,資源,/ˈriːsɔrs/,/rˈiːsɔːrs/,Water is a precious resource.,Water is a precious resource.,水は貴重な資源です。,水は貴重な資源です。,屈折IPAの原形化
2592,experiment,B1,B1,実験,実験,/ɪˈkspɛrəmənts/,/ɪkspˈerəmənt/,They conducted scientific experiments.,They conducted scientific experiment.,彼らは科学実験を行った。,彼らは科学実験を行った。,屈折IPAの原形化 / 例文の原形主語整合化
2596,occasion,B1,B1,機会,機会,/əˈkeɪʒənz/,/əkˈeɪʒən/,We celebrated the occasion with a special dinner.,We celebrated the occasion with a special dinner.,私たちは特別なディナーでその機会を祝った。,私たちは特別なディナーでその機会を祝った。,屈折IPAの原形化
2606,seed,B1,B1,種,種,/ˈsiːdz/,/sˈiːd/,We planted some seeds in the garden.,We planted some seed in the garden.,私たちは庭にいくつかの種を植えました。,私たちは庭にいくつかの種を植えました。,屈折IPAの原形化 / 例文の原形主語整合化
2617,script,B1,B1,スクリプト,スクリプト,/ˈskrɪpts/,/skrˈɪpt/,The actors read their scripts.,The actors read their script.,俳優たちは自分たちのスクリプトを読んだ。,俳優たちは自分たちのスクリプトを読んだ。,屈折IPAの原形化 / 例文の原形主語整合化
2628,epic,B1,B1,"叙事詩,大作","叙事詩,大作",/ˈɛpɪks/,/ˈepɪk/,He was reading one of the great epics of ancient literature.,He was reading one of the great epic of ancient literature.,彼は古代文学の偉大な叙事詩の一つを読んでいました。,私は古代文学の偉大な叙事詩の一つを読んでいました。,屈折IPAの原形化 / 例文の原形主語整合化
2629,expand,B1,B1,拡大する、膨張する,拡大する、膨張する,/ɪˈkspændz/,/ɪkspˈænd/,The universe expands over time.,The universe expand over time.,宇宙は時間とともに拡大する。,宇宙は時間とともに拡大する。,屈折IPAの原形化 / 例文の原形主語整合化
2633,indicate,B1,B1,示す,示す,/ˈɪndɪˌkeɪts/,/ˈɪndəkˌeɪt/,The data indicates a clear trend.,The data indicate a clear trend.,そのデータは明確な傾向を示している。,そのデータは明確な傾向を示している。,屈折IPAの原形化 / 例文の原形主語整合化
2643,rep,B1,B1,反復,反復,/ˈrɛps/,/rˈep/,Do 10 reps of each exercise.,Do 10 rep of each exercise.,各エクササイズを10回繰り返してください。,各エクササイズを10回繰り返してください。,屈折IPAの原形化 / 例文の原形主語整合化
2645,theater,B1,B1,劇場,劇場,/ˈθiːətərz/,/θˈiːətɚ/,There are several theaters in the city center.,There are several theater in the city center.,市内中心部にはいくつかの劇場がある。,市内中心部にはいくつかの劇場がある。,屈折IPAの原形化 / 例文の原形主語整合化
2647,asshole,B1,B1,嫌なやつ,嫌なやつ,/ˈæshoʊlz/,/ˈæshoʊl/,He acted like an asshole at the party.,He acted like an asshole at the party.,彼はパーティーで嫌なやつのように振る舞った。,彼はパーティーで嫌なやつのように振る舞った。,屈折IPAの原形化
2650,bull,B1,B1,雄牛,雄牛,/ˈbʊlz/,/bˈʊl/,The bulls are in the field.,The bull are in the field.,雄牛が野原にいます。,雄牛が野原にいます。,屈折IPAの原形化 / 例文の原形主語整合化
2655,punishment,B1,B1,罰,罰,/ˈpʌnɪʃmənts/,/pˈʌnɪʃmənt/,The punishments were severe.,The punishment were severe.,罰は厳しかった。,罰は厳しかった。,屈折IPAの原形化 / 例文の原形主語整合化
2660,crossing,B1,B1,横断歩道,横断歩道,/ˈkrɔsɪŋz/,/krˈɔːsɪŋ/,Use the crossings to safely get to the other side of the street.,Use the crossing to safely get to the other side of the street.,横断歩道を使って安全に道路の反対側に行きましょう。,横断歩道を使って安全に道路の反対側に行きましょう。,屈折IPAの原形化 / 例文の原形主語整合化
2676,complaint,B1,B1,苦情,苦情,/kəˈmpleɪnts/,/kəmplˈeɪnt/,We received several complaints about the noise.,We received several complaint about the noise.,私たちは騒音に関するいくつかの苦情を受けた。,私たちは騒音に関するいくつかの苦情を受けた。,屈折IPAの原形化 / 例文の原形主語整合化
2686,rick,B1,B1,干し草の山,干し草の山,/ˈrɪks/,/rˈɪk/,The farmers built ricks of hay in the field.,The farmers built rick of hay in the field.,農家は畑に干し草の山を築いた。,農家は畑に干し草の山を築いた。,屈折IPAの原形化 / 例文の原形主語整合化
2691,announcement,B1,B1,お知らせ,お知らせ,/əˈnaʊnsmənts/,/ənˈaʊnsmənt/,The announcements were very clear.,The announcement were very clear.,お知らせは非常に明確だった。,お知らせは非常に明確だった。,屈折IPAの原形化 / 例文の原形主語整合化
2693,arsenal,B1,B1,兵器庫,兵器庫,/ˈɑrsənəlz/,/ˈɑːrsənəl/,The old forts had large arsenals for their weapons.,The old forts had large arsenal for their weapons.,古い要塞には、武器のための大きな兵器庫があった。,古い要塞には、武器のための大きな兵器庫があった。,屈折IPAの原形化 / 例文の原形主語整合化
2699,define,B1,B1,定義する,定義する,/dɪˈfaɪnz/,/dɪfˈaɪn/,The dictionary defines the word.,The dictionary define the word.,辞書はその単語を定義する。,辞書はその単語を定義する。,屈折IPAの原形化 / 例文の原形主語整合化
2707,lincoln,B1,B1,リンカーン,リンカーン,/ˈlɪŋkənz/,/lˈɪŋkən/,He owns several classic Lincolns.,He owns several classic lincoln.,彼はいくつかのクラシックなリンカーンを所有している。,私はいくつかのクラシックなリンカーンを所有している。,屈折IPAの原形化 / 例文の原形主語整合化
2710,triple,B1,B1,3倍にする,3倍にする,/ˈtrɪpəlz/,/trˈɪpəl/,The company aims to triples its sales in the next quarter.,The company aims to triple its sales in the next quarter.,その会社は、次の四半期で売上を3倍にすることを目指している。,その会社は、次の四半期で売上を3倍にすることを目指している。,屈折IPAの原形化 / 例文の原形主語整合化
2727,celebration,B1,B1,祝賀,祝賀,/ˌsɛləˈbreɪʃənz/,/sˌeləbrˈeɪʃən/,The town is full of celebrations during the festival.,The town is full of celebration during the festival.,祭りの間、町は祝賀でいっぱいになる。,祭りの間、町は祝賀でいっぱいになる。,屈折IPAの原形化 / 例文の原形主語整合化
2746,feeding,B1,B1,授乳,授乳,/ˈfiːdɪŋz/,/fˈiːdɪŋ/,The baby needs feedings every few hours.,The baby needs feeding every few hours.,赤ちゃんは数時間ごとに授乳が必要です。,赤ちゃんは数時間ごとに授乳が必要です。,屈折IPAの原形化 / 例文の原形主語整合化
2760,stranger,B1,B1,見知らぬ人,見知らぬ人,/ˈstreɪndʒərz/,/strˈeɪndʒɚ/,She avoided talking to strangers.,She avoided talking to stranger.,彼女は見知らぬ人と話すのを避けた。,私は見知らぬ人と話すのを避けた。,屈折IPAの原形化 / 例文の原形主語整合化
2761,volunteer,B1,B1,ボランティア,ボランティア,/ˌvɑləˈntɪrz/,/vˌɑːləntˈɪr/,Many volunteers helped clean up the park.,Many volunteer helped clean up the park.,多くのボランティアが公園の清掃を手伝った。,多くのボランティアが公園の清掃を手伝った。,屈折IPAの原形化 / 例文の原形主語整合化
2767,firing,B1,B1,発砲,発砲,/ˈfaɪrɪŋz/,/fˈaɪrɪŋ/,There were several firings during the riot.,There were several firing during the riot.,暴動中に数回の発砲がありました。,暴動中に数回の発砲がありました。,屈折IPAの原形化 / 例文の原形主語整合化
2774,announce,B1,B1,発表する,発表する,/əˈnaʊns/,/ənˈaʊns/,The company will announce its new product next month.,The company will announce its new product next month.,その会社は来月、新製品を発表します。,その会社は来月、新製品を発表します。,屈折IPAの原形化
2779,convince,B1,B1,納得させる,納得させる,/kəˈnvɪns/,/kənvˈɪns/,I tried to convince her to come with us.,I tried to convince her to come with us.,私は彼女に私たちと一緒に行くように説得しようとした。,私は彼女に私たちと一緒に行くように説得しようとした。,屈折IPAの原形化
2782,guardian,B1,B1,守護者,守護者,/ˈɡɑrdiənz/,/ɡˈɑːrdiːən/,They are the guardians of the temple.,They are the guardian of the temple.,彼らは寺院の守護者である。,彼らは寺院の守護者である。,屈折IPAの原形化 / 例文の原形主語整合化
2785,offense,B1,B1,違反,違反,/əˈfɛns/,/əfˈens/,He committed a minor traffic offense.,He committed a minor traffic offense.,彼は軽微な交通違反を犯した。,彼は軽微な交通違反を犯した。,屈折IPAの原形化
2790,va,B1,B1,輸管,輸管,/vas/,/vas/,The vas deferens carries sperm.,The va deferens carries sperm.,精管は精子を運ぶ。,精管は精子を運ぶ。,例文の原形主語整合化
2799,emperor,B1,B1,皇帝,皇帝,/ˈɛmpərərz/,/ˈempɚɚ/,The ancient Roman emperors were powerful figures.,The ancient Roman emperor were powerful figures.,古代ローマの皇帝たちは強力な人物だった。,古代ローマの皇帝たちは強力な人物だった。,屈折IPAの原形化 / 例文の原形主語整合化
2809,pipe,B1,B1,パイプ,パイプ,/ˈpaɪps/,/pˈaɪp/,The pipes are leaking.,The pipe are leaking.,パイプが漏れている。,パイプが漏れている。,屈折IPAの原形化 / 例文の原形主語整合化
2819,abc,B1,B1,アルファベット,アルファベット,/ˈeɪˌbiˌsiz/,/ˈeɪˌbiˌsiz/,I am learning my abcs.,I am learning my abc.,私はアルファベットを学んでいます。,私はアルファベットを学んでいます。,例文の原形主語整合化
2823,destination,B1,B1,目的地,目的地,/ˌdɛstəˈneɪʃənz/,/dˌestənˈeɪʃən/,They had many different destinations on their trip.,They had many different destination on their trip.,彼らは旅行中に多くの異なる目的地があった。,彼らは旅行中に多くの異なる目的地があった。,屈折IPAの原形化 / 例文の原形主語整合化
2825,export,B1,B1,輸出,輸出,/ˈɛkspɔrt/,/ˈɛkspɔrt/,The country exports a lot of agricultural products.,The country export a lot of agricultural products.,その国は多くの農産物を輸出している。,その国は多くの農産物を輸出している。,例文の原形主語整合化
2835,pat,B1,B1,軽くたたく,軽くたたく,/ˈpæts/,/pˈæt/,She pats the dog gently.,I pat the dog gently.,彼女は犬を優しくたたく。,私は犬を優しくたたく。,屈折IPAの原形化 / 例文の原形主語整合化
2836,relate,B1,B1,関連する,関連する,/rɪˈleɪts/,/rɪlˈeɪt/,This information relates to your question.,This information relate to your question.,この情報はあなたの質問に関連しています。,この情報はあなたの質問に関連しています。,屈折IPAの原形化 / 例文の原形主語整合化
2839,treasury,B1,B1,国庫、財務省,国庫、財務省,/ˈtrɛʒəriz/,/trˈeʒɚiː/,The government's treasuries were depleted due to the financial crisis.,The government's treasuries were depleted due to the financial crisis.,政府の国庫は金融危機のために枯渇した。,政府の国庫は金融危機のために枯渇した。,屈折IPAの原形化
2844,brazilian,B1,B1,ブラジル人,ブラジル人,/brəˈzɪljənz/,/brəzˈɪljən/,The Brazilians celebrated their national holiday.,The brazilian celebrated their national holiday.,ブラジル人たちは彼らの祝日を祝いました。,ブラジル人たちは彼らの祝日を祝いました。,屈折IPAの原形化 / 例文の原形主語整合化
2863,substance,B1,B1,物質,物質,/ˈsʌbstənsəz/,/sˈʌbstəns/,The lab is studying different chemical substances.,The lab is studying different chemical substance.,その研究所はさまざまな化学物質を研究しています。,その研究所はさまざまな化学物質を研究しています。,屈折IPAの原形化 / 例文の原形主語整合化
2870,explosion,B1,B1,爆発,爆発,/ɪˈksploʊʒənz/,/ɪksplˈoʊʒən/,The explosions could be heard for miles.,The explosion could be heard for miles.,爆発音は何マイルも離れた場所まで聞こえました。,爆発音は何マイルも離れた場所まで聞こえました。,屈折IPAの原形化 / 例文の原形主語整合化
2871,folk,B1,B1,人々,人々,/ˈfoʊks/,/fˈoʊk/,The folks in our neighborhood are friendly.,The folk in our neighborhood are friendly.,私たちの近所の人々は親切です。,私たちの近所の人々は親切です。,屈折IPAの原形化 / 例文の原形主語整合化
2883,arc,B1,B1,弧,弧,/ˈɑrks/,/ˈɑːrk/,The rainbow formed a beautiful arc in the sky.,The rainbow formed a beautiful arc in the sky.,虹が空に美しい弧を描いた。,虹が空に美しい弧を描いた。,屈折IPAの原形化
2890,fence,B1,B1,フェンス,フェンス,/ˈfɛns/,/fˈens/,We need to repair the fence around the garden.,We need to repair the fence around the garden.,庭の周りのフェンスを修理する必要があります。,庭の周りのフェンスを修理する必要があります。,屈折IPAの原形化
2893,highlight,B1,B1,ハイライト,ハイライト,/ˈhaɪˌlaɪts/,/hˈaɪlˌaɪt/,The report highlights several key issues.,The report highlight several key issues.,その報告書はいくつかの重要な問題を強調している。,その報告書はいくつかの重要な問題を強調している。,屈折IPAの原形化 / 例文の原形主語整合化
2899,nail,B1,B1,爪,爪,/ˈneɪlz/,/nˈeɪl/,She painted her nails a bright red color.,She painted her nail a bright red color.,彼女は爪を鮮やかな赤色に塗りました。,私は爪を鮮やかな赤色に塗りました。,屈折IPAの原形化 / 例文の原形主語整合化
2900,poet,B1,B1,詩人,詩人,/ˈpoʊəts/,/pˈoʊət/,Many famous poets have written about love.,Many famous poet have written about love.,多くの有名な詩人が愛について書いてきた。,多くの有名な詩人が愛について書いてきた。,屈折IPAの原形化 / 例文の原形主語整合化
2908,attract,B1,B1,魅了する,魅了する,/əˈtrækts/,/ətrˈækt/,The park attracts many visitors.,The park attract many visitors.,その公園は多くの訪問者を魅了する。,その公園は多くの訪問者を魅了する。,屈折IPAの原形化 / 例文の原形主語整合化
2911,bronze,B1,B1,青銅,青銅,/ˈbrɑnz/,/brˈɑːnz/,The statue is made of bronze.,The statue is made of bronze.,その像は青銅でできている。,その像は青銅でできている。,屈折IPAの原形化
2938,coin,B1,B1,硬貨,硬貨,/ˈkɔɪnz/,/kˈɔɪn/,He has a jar full of coins.,He has a jar full of coin.,彼は硬貨でいっぱいの瓶を持っています。,私は硬貨でいっぱいの瓶を持っています。,屈折IPAの原形化 / 例文の原形主語整合化
2946,filling,B1,B1,詰め物,詰め物,/ˈfɪlɪŋz/,/fˈɪlɪŋ/,My tooth has a filling.,My tooth has a filling.,私の歯には詰め物があります。,私の歯には詰め物があります。,屈折IPAの原形化
2953,qualify,B1,B1,資格がある,資格がある,/ˈkwɑləˌfaɪz/,/kwˈɑːləfˌaɪ/,She qualifies for the scholarship.,She qualifies for the scholarship.,彼女は奨学金の資格がある。,彼女は奨学金の資格がある。,屈折IPAの原形化
2965,assignment,B1,B1,課題,課題,/əˈsaɪnmənts/,/əsˈaɪnmənt/,The students have many assignments to complete this week.,The students have many assignment to complete this week.,学生たちは今週、完了しなければならない多くの課題がある。,学生たちは今週、完了しなければならない多くの課題がある。,屈折IPAの原形化 / 例文の原形主語整合化
2967,clue,B1,B1,手がかり,手がかり,/ˈkluːz/,/klˈuː/,The police found some clues at the crime scene.,The police found some clue at the crime scene.,警察は犯罪現場でいくつか手がかりを見つけた。,警察は犯罪現場でいくつか手がかりを見つけた。,屈折IPAの原形化 / 例文の原形主語整合化
2982,mixture,B1,B1,混合物,混合物,/ˈmɪkstʃərz/,/mˈɪkstʃɚ/,They created different mixtures for the experiment.,They created different mixture for the experiment.,彼らは実験のために異なる混合物を作成した。,彼らは実験のために異なる混合物を作成した。,屈折IPAの原形化 / 例文の原形主語整合化
2989,victor,B1,B1,勝者,勝者,/ˈvɪktərz/,/vˈɪktɚ/,The victors celebrated their success.,The victor celebrated their success.,勝者たちは彼らの成功を祝った。,勝者たちは彼らの成功を祝った。,屈折IPAの原形化 / 例文の原形主語整合化
2990,vintage,B1,B1,年代物の,年代物の,/ˈvɪntɪdʒɪz/,/vˈɪntɪdʒ/,He collects vintages of wine from around the world.,He collects vintage of wine from around the world.,彼は世界中の年代物のワインを収集している。,私は世界中の年代物のワインを収集している。,屈折IPAの原形化 / 例文の原形主語整合化
3012,apologize,B1,B1,謝る,謝る,/əˈpɑləˌdʒaɪz/,/əpˈɑːlədʒˌaɪz/,You should apologize for your mistake.,You should apologize for your mistake.,あなたは自分の過ちについて謝るべきです。,あなたは自分の過ちについて謝るべきです。,屈折IPAの原形化
3016,bubble,B1,B1,泡,泡,/ˈbʌbəlz/,/bˈʌbəl/,The soap made many bubbles.,The soap made many bubble.,石鹸はたくさんの泡を作りました。,石鹸はたくさんの泡を作りました。,屈折IPAの原形化 / 例文の原形主語整合化
3023,hammer,B1,B1,ハンマー,ハンマー,/ˈhæmərz/,/hˈæmɚ/,He uses hammers for carpentry.,He uses hammer for carpentry.,彼は大工仕事にハンマーを使います。,私は大工仕事にハンマーを使います。,屈折IPAの原形化 / 例文の原形主語整合化
3032,paradise,B1,B1,楽園,楽園,/ˈpɛrəˌdaɪs/,/pˈerədˌaɪs/,The island is a tropical paradise.,The island is a tropical paradise.,その島は熱帯の楽園だ。,その島は熱帯の楽園だ。,屈折IPAの原形化
3034,politician,B1,B1,政治家,政治家,/ˌpɑləˈtɪʃənz/,/pˌɑːlətˈɪʃən/,The politicians debated the issue.,The politician debated the issue.,政治家たちはその問題について議論した。,政治家たちはその問題について議論した。,屈折IPAの原形化 / 例文の原形主語整合化
3039,tier,B1,B1,階層,階層,/ˈtiːrz/,/tˈiːr/,The wedding cake had three tiers.,The wedding cake had three tier.,ウェディングケーキは3つの階層があった。,ウェディングケーキは3つの階層があった。,屈折IPAの原形化 / 例文の原形主語整合化
3047,earthquake,B1,B1,地震,地震,/ˈɜːrˌθkweɪks/,/ˈɜːrθkwˌeɪk/,The city is often affected by earthquakes.,The city is often affected by earthquake.,その都市はしばしば地震の影響を受ける。,その都市はしばしば地震の影響を受ける。,屈折IPAの原形化 / 例文の原形主語整合化
3064,buffalo,B1,B1,バッファロー,バッファロー,/ˈbʌfəˌloʊɪz/,/bˈʌfəlˌoʊ/,There were many buffaloes on the prairie.,There were many buffaloes on the prairie.,大草原にはたくさんのバッファローがいました。,大草原にはたくさんのバッファローがいました。,屈折IPAの原形化
3082,bend,B1,B1,曲がる,曲がる,/ˈbɛndz/,/bˈend/,The road bends sharply to the left.,The road bend sharply to the left.,道路は左に大きく曲がっている。,道路は左に大きく曲がっている。,屈折IPAの原形化 / 例文の原形主語整合化
3084,closet,B1,B1,クローゼット,クローゼット,/ˈklɑzəts/,/klˈɑːzət/,We need to organize our closets.,We need to organize our closet.,私たちはクローゼットを整理する必要があります。,私たちはクローゼットを整理する必要があります。,屈折IPAの原形化 / 例文の原形主語整合化
3085,combine,B1,B1,組み合わせる,組み合わせる,/kəˈmbaɪnz/,/kˈɑːmbaɪn/,The recipe combines sweet and savory flavors.,The recipe combine sweet and savory flavors.,そのレシピは甘味と塩味を組み合わせている。,そのレシピは甘味と塩味を組み合わせている。,屈折IPAの原形化 / 例文の原形主語整合化
3094,haven,B1,B1,避難所、安全な場所,避難所、安全な場所,/ˈheɪvənz/,/hˈeɪvən/,The small town became a haven for artists.,The small town became a haven for artists.,その小さな町は芸術家たちの避難所となった。,その小さな町は芸術家たちの避難所となった。,屈折IPAの原形化
3104,profession,B1,B1,職業,職業,/prəˈfɛʃənz/,/prəfˈeʃən/,Teaching is one of the many noble professions.,Teaching is one of the many noble profession.,教育は多くの高貴な職業の一つです。,教育は多くの高貴な職業の一つです。,屈折IPAの原形化 / 例文の原形主語整合化
3109,valve,B1,B1,バルブ,バルブ,/ˈvælvz/,/vˈælv/,The valves control the flow of water.,The valve control the flow of water.,バルブは水の流れを制御する。,バルブは水の流れを制御する。,屈折IPAの原形化 / 例文の原形主語整合化
3121,jungle,B1,B1,ジャングル,ジャングル,/ˈdʒʌŋɡəlz/,/dʒˈʌŋɡəl/,The explorers walked through dense jungles.,The explorers walked through dense jungle.,探検家たちは深いジャングルを歩いた。,探検家たちは深いジャングルを歩いた。,屈折IPAの原形化 / 例文の原形主語整合化
3132,ace,B1,B1,エース,エース,/ˈeɪsɪz/,/ˈeɪs/,She has a collection of aces in cards.,She has a collection of ace in cards.,彼女はトランプのエースのコレクションを持っている。,私はトランプのエースのコレクションを持っている。,屈折IPAの原形化 / 例文の原形主語整合化
3134,attraction,B1,B1,観光名所,観光名所,/əˈtrækʃənz/,/ətrˈækʃən/,The city has many popular attractions.,The city has many popular attraction.,その都市には多くの人気のある観光名所がある。,その都市には多くの人気のある観光名所がある。,屈折IPAの原形化 / 例文の原形主語整合化
3135,babe,B1,B1,赤ちゃん,赤ちゃん,/ˈbeɪbz/,/bˈeɪb/,The babes were sleeping soundly.,The babe were sleeping soundly.,赤ちゃんたちはぐっすり眠っていました。,赤ちゃんたちはぐっすり眠っていました。,屈折IPAの原形化 / 例文の原形主語整合化
3141,freeze,B1,B1,凍る,凍る,/ˈfriːzɪz/,/frˈiːz/,The water freezes at 0 degrees Celsius.,The water freeze at 0 degrees Celsius.,水は摂氏0度で凍ります。,水は摂氏0度で凍ります。,屈折IPAの原形化 / 例文の原形主語整合化
3144,keyboard,B1,B1,キーボード,キーボード,/ˈkiːˌbɔrdz/,/kˈiːbˌɔːrd/,He is very fast at typing on keyboards.,He is very fast at typing on keyboard.,彼はキーボードでの入力がとても速い。,私はキーボードでの入力がとても速い。,屈折IPAの原形化 / 例文の原形主語整合化
3154,potter,B1,B1,陶芸家,陶芸家,/ˈpɑtərz/,/pˈɑːtɚ/,The potters were working on their wheels.,The potter were working on their wheels.,陶芸家たちは轆轤で作業していた。,陶芸家たちは轆轤で作業していた。,屈折IPAの原形化 / 例文の原形主語整合化
3168,fitting,B1,B1,試着,試着,/ˈfɪtɪŋz/,/fˈɪtɪŋ/,She had her dress fittings today.,She had her dress fitting today.,彼女は今日、ドレスの試着をした。,私は今日、ドレスの試着をした。,屈折IPAの原形化 / 例文の原形主語整合化
3171,hurricane,B1,B1,ハリケーン,ハリケーン,/ˈhɜːrəˌkeɪnz/,/hˈɜːrəkˌeɪn/,Hurricanes can cause great devastation.,hurricane can cause great devastation.,ハリケーンは大きな被害をもたらすことがある。,ハリケーンは大きな被害をもたらすことがある。,屈折IPAの原形化 / 例文の原形主語整合化
3172,import,B1,B1,輸入,輸入,/ɪˈmpɔrt/,/ɪˈmpɔrt/,The country imports most of its oil.,The country import most of its oil.,その国は石油の大部分を輸入している。,その国は石油の大部分を輸入している。,例文の原形主語整合化
3181,shark,B1,B1,サメ,サメ,/ˈʃɑrks/,/ʃˈɑːrk/,Sharks are dangerous predators.,shark are dangerous predators.,サメは危険な捕食者です。,サメは危険な捕食者です。,屈折IPAの原形化 / 例文の原形主語整合化
3184,advise,B1,B1,助言する,助言する,/æˈdvaɪz/,/ædvˈaɪz/,I would advise you to think carefully.,I would advise you to think carefully.,よく考えるように助言します。,よく考えるように助言します。,屈折IPAの原形化
3185,bee,B1,B1,ハチ,ハチ,/ˈbiːz/,/bˈiː/,Bees are making honey.,bee are making honey.,ハチは蜂蜜を作っています。,ハチは蜂蜜を作っています。,屈折IPAの原形化 / 例文の原形主語整合化
3199,meter,B1,B1,メートル,メートル,/ˈmiːtər/,/ˈmiːtər/,The table is two meters long.,The table is two meter long.,そのテーブルは長さ2メートルだ。,そのテーブルは長さ2メートルだ。,例文の原形主語整合化
3200,mice,B1,B1,ネズミ,ネズミ,/ˈmaɪs/,/mˈaɪs/,There were mice in the house.,There were mice in the house.,家にはネズミがいた。,家にはネズミがいた。,屈折IPAの原形化
3208,statue,B1,B1,像,像,/ˈstæˌtʃuːz/,/stˈætʃˌuː/,There are many statues in the park.,There are many statue in the park.,公園にはたくさんの像がある。,公園にはたくさんの像がある。,屈折IPAの原形化 / 例文の原形主語整合化
3229,lodge,B1,B1,山小屋,山小屋,/ˈlɑdʒəz/,/lˈɑːdʒ/,They stayed in the mountain lodges.,They stayed in the mountain lodge.,彼らは山小屋に滞在した。,彼らは山小屋に滞在した。,屈折IPAの原形化 / 例文の原形主語整合化
3255,concentrate,B1,B1,集中する、専念する,集中する、専念する,/ˈkɑnsəˌntreɪts/,/kˈɑːnsəntrˌeɪt/,He concentrates on his work.,I concentrate on his work.,彼は仕事に集中する。,私は仕事に集中する。,屈折IPAの原形化 / 例文の原形主語整合化
3257,consequence,B1,B1,結果,結果,/ˈkɑnsəˌkwɛnsəz/,/kˈɑːnsəkwəns/,We must consider the consequences of our actions.,We must consider the consequence of our actions.,私たちは自分たちの行動の結果を考慮しなければならない。,私たちは自分たちの行動の結果を考慮しなければならない。,屈折IPAの原形化 / 例文の原形主語整合化
